"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 22 15:44:09 CST 2021","Thu Apr 22 15:44:09 CST 2021","21","","test_Algorithm_Tool","TestAlgTool","","","测试输入：{""serverTypes"":"""",""categories"":"""",""order"":1,""page"":0,""size"":12}",""
"passed","Thu Apr 22 15:44:11 CST 2021","Thu Apr 22 15:44:11 CST 2021","102","","test_login","TestLogin","","","测试输入：{""grant_type"":""password"",""username"":""17688701458"",""password"":"""",""imageCode"":""9527""}",""
"passed","Thu Apr 22 15:44:11 CST 2021","Thu Apr 22 15:44:11 CST 2021","291","","test_login","TestLogin","","","测试输入：{""grant_type"":""password"",""username"":""17688701458"",""password"":""Sutpc@2020"",""imageCode"":""9527""}",""
"passed","Thu Apr 22 15:44:11 CST 2021","Thu Apr 22 15:44:11 CST 2021","7","","test_Data_interface_service","TestDataInterfaceService","","","测试输入：{""treeDataId"":1}",""
"passed","Thu Apr 22 15:44:10 CST 2021","Thu Apr 22 15:44:10 CST 2021","26","","test_Data_Service","TestDataService","","","测试输入：{""size"":""10"",""page"":""0""}",""
"passed","Thu Apr 22 15:44:11 CST 2021","Thu Apr 22 15:44:11 CST 2021","9","","test_Data_interface_service","TestDataInterfaceService","","","测试输入：{""label"":""接口服务列表"",""id"":""84""}",""
"passed","Thu Apr 22 15:44:09 CST 2021","Thu Apr 22 15:44:09 CST 2021","31","","test_Algorithm_Tool","TestAlgTool","","","测试输入：{""script"":""# 函数建模支持使用Python脚本对平台数据进行分析，目前平台支持的Python包有pandas、shapely、numpy、shapely、geopandas\n# 双击左侧平台算法目录树中的算法名称导入算法，双击右侧数据目录树中的数据表名导入数据表名称\n# 如需保存结果数据，使用save_data函数将结果保存至“我的数据”中\nprint(\""ou ha yo\"")""}",""
"passed","Thu Apr 22 15:44:11 CST 2021","Thu Apr 22 15:44:11 CST 2021","15","","test_Data_interface_service","TestDataInterfaceService","","","测试输入：{""lable"":""接口服务列表""}",""
"passed","Thu Apr 22 15:44:11 CST 2021","Thu Apr 22 15:44:11 CST 2021","11","","test_Data_interface_service","TestDataInterfaceService","","","测试输入：",""
"passed","Thu Apr 22 15:44:09 CST 2021","Thu Apr 22 15:44:10 CST 2021","303","","test_Data_Index","TestDataIndex","","","测试输入：{""sql"":""SELECT * FROM t_vai_pedestrian_feature LIMIT 100"",""isCn"":""True""}"," case description:查看指标数据库中的数据 "
